"","X","baker","age","sex","occupation","hometown","season","name_or_nickname","firstname","result","hometown_uk","coords.lon","coords.lat","lon","lat"
"61", 61,"Ugnė Bubnaityte",32,"F","PA and administrator","Woodford, London", 6,"Ugnė Bubnaityte","Ugnė",NA,"Woodford, London, UK", 0.0325025,51.6041751, 0.0325025,51.60418
"62", 62,"Andrew Smyth",25,"M","Aerospace engineer","Derby", 7,"Andrew Smyth","Andrew",NA,"Derby, UK",-1.4746186,52.9225301,-1.4746186,52.92253
"63", 63,"Benjamina Ebuehi",23,"F","Teaching assistant","South London", 7,"Benjamina Ebuehi","Benjamina",NA,"South London, UK",-0.1403317,51.3888898,-0.1403317,51.38889
"64", 64,"Candice Brown",31,"F","PE teacher","Barton-Le-Clay, Bedfordshire", 7,"Candice Brown","Candice","WINNER","Barton-Le-Clay, Bedfordshire, UK",-0.4271385,51.9689711,-0.4271385,51.96897
"65", 65,"Jane Beedle",61,"F","Garden designer","Beckenham", 7,"Jane Beedle","Jane",NA,"Beckenham, UK",-0.0258130,51.4081700,-0.0258130,51.40817
"66", 66,"Kate Barmby",37,"F","Nurse","Brooke, Norfolk", 7,"Kate Barmby","Kate",NA,"Brooke, Norfolk, UK", 1.3626181,52.5293721, 1.3626181,52.52937
"67", 67,"Lee Banfield",67,"M","Pastor","Bolton", 7,"Lee Banfield","Lee",NA,"Bolton, UK",-2.4282192,53.5768647,-2.4282192,53.57686
"68", 68,"Louise Williams",46,"F","Hairdresser","Cardiff", 7,"Louise Williams","Louise",NA,"Cardiff, UK",-3.1680962,51.4837070,-3.1680962,51.48371
"69", 69,"Michael Georgiou",20,"M","Student","Durham", 7,"Michael Georgiou","Michael",NA,"Durham, UK",-1.5848520,54.7752500,-1.5848520,54.77525
"70", 70,"Rav Bansal",28,"M","Student support","Erith", 7,"Rav Bansal","Rav",NA,"Erith, UK", 0.1746750,51.4808180, 0.1746750,51.48082
"71", 71,"Selasi Gbormittah",30,"M","Client service associate","London", 7,"Selasi Gbormittah","Selasi",NA,"London, UK",-0.1275862,51.5072178,-0.1275862,51.50722
"72", 72,"Tom Gilliford",26,"M","Project engagement manager","Rochdale", 7,"Tom Gilliford","Tom",NA,"Rochdale, UK",-2.1561000,53.6097136,-2.1561000,53.60971
"73", 73,"Valerie ""Val"" Stones",66,"F","Semi-retired, Substitute teacher","Yeovil", 7,"Val","Val",NA,"Yeovil, UK",-2.6333080,50.9420610,-2.6333080,50.94206
"74", 74,"Chris Geiger",50,"M","Software developer","Bristol", 8,"Chris Geiger","Chris",NA,"Bristol, UK",-2.5879100,51.4545130,-2.5879100,51.45451
"75", 75,"Flo Atkins",71,"F","Retired","Merseyside", 8,"Flo Atkins","Flo",NA,"Merseyside, UK",-2.9436643,53.3976041,-2.9436643,53.39760
"76", 76,"James Hillery",46,"M","Banker","Brentwood, Essex", 8,"James Hillery","James",NA,"Brentwood, Essex, UK", 0.3071749,51.6204750, 0.3071749,51.62047
"77", 77,"Julia Chernogorova",21,"F","Aviation Broker","Crawley, West Sussex", 8,"Julia Chernogorova","Julia",NA,"Crawley, West Sussex, UK",-0.1872275,51.1091401,-0.1872275,51.10914
"78", 78,"Kate Lyon",29,"F","Health and safety inspector","Merseyside", 8,"Kate Lyon","Kate",NA,"Merseyside, UK",-2.9436643,53.3976041,-2.9436643,53.39760
"79", 79,"Liam Charles",19,"M","Student","North London", 8,"Liam Charles","Liam",NA,"North London, UK",-0.1275862,51.5072178,-0.1275862,51.50722
"80", 80,"Peter Abatan",52,"M","IT programme manager","Southend, Essex", 8,"Peter Abatan","Peter",NA,"Southend, Essex, UK", 0.7077123,51.5459269, 0.7077123,51.54593
"81", 81,"Sophie Faldo",33,"F","Former army officer and trainee stuntwoman","West Molesey, Surrey", 8,"Sophie Faldo","Sophie","WINNER","West Molesey, Surrey, UK",-0.3748210,51.4023080,-0.3748210,51.40231
"82", 82,"Stacey Hart",42,"F","Former school teacher","Radlett, Hertfordshire", 8,"Stacey Hart","Stacey",NA,"Radlett, Hertfordshire, UK",-0.3173869,51.6868080,-0.3173869,51.68681
"83", 83,"Steven Carter-Bailey",34,"M","Marketer","Watford, Hertfordshire", 8,"Steven Carter-Bailey","Steven",NA,"Watford, Hertfordshire, UK",-0.3970199,51.6611283,-0.3970199,51.66113
"84", 84,"Tom Hetherington",29,"M","Architect","Edinburgh", 8,"Tom Hetherington","Tom",NA,"Edinburgh, UK",-3.1882670,55.9532520,-3.1882670,55.95325
"85", 85,"Chuen-Yan ""Yan"" Tsou",46,"F","Laboratory research scientist","North London", 8,"Yan","Yan",NA,"North London, UK",-0.1275862,51.5072178,-0.1275862,51.50722
"86", 86,"Antony Amourdoux",30,"M","Banker","London", 9,"Antony Amourdoux","Antony",NA,"London, UK",-0.1275862,51.5072178,-0.1275862,51.50722
"87", 87,"Briony Williams",33,"F","Stay at home parent","Bristol", 9,"Briony Williams","Briony",NA,"Bristol, UK",-2.5879100,51.4545130,-2.5879100,51.45451
"88", 88,"Dan Beasley-Harling",36,"M","Stay at home parent","London", 9,"Dan Beasley-Harling","Dan",NA,"London, UK",-0.1275862,51.5072178,-0.1275862,51.50722
"89", 89,"Imelda McCarron",33,"F","Countryside recreation officer","County Tyrone", 9,"Imelda McCarron","Imelda",NA,"County Tyrone, UK",-3.4359730,55.3780510,-3.4359730,55.37805
"90", 90,"Jon Jenkins",47,"M","Blood courier","Newport", 9,"Jon Jenkins","Jon",NA,"Newport, UK",-2.9976640,51.5841510,-2.9976640,51.58415
"91", 91,"Karen Wright",60,"F","In-store sampling assistant","Wakefield", 9,"Karen Wright","Karen",NA,"Wakefield, UK",-1.5059240,53.6832980,-1.5059240,53.68330
"92", 92,"Kim-Joy Hewlett",27,"F","Mental health specialist","Leeds", 9,"Kim-Joy Hewlett","Kim-Joy",NA,"Leeds, UK",-1.5490774,53.8007554,-1.5490774,53.80076
"93", 93,"Luke Thompson",30,"M","Civil servant/house and techno DJ","Sheffield", 9,"Luke Thompson","Luke",NA,"Sheffield, UK",-1.4700850,53.3811290,-1.4700850,53.38113
"94", 94,"Manon Lagrève",26,"F","Software project manager","London", 9,"Manon Lagrève","Manon",NA,"London, UK",-0.1275862,51.5072178,-0.1275862,51.50722
"95", 95,"Rahul Mandal",30,"M","Research scientist","Rotherham", 9,"Rahul Mandal","Rahul","WINNER","Rotherham, UK",-1.3635009,53.4326035,-1.3635009,53.43260
"96", 96,"Ruby Bhogal",29,"F","Project manager","London", 9,"Ruby Bhogal","Ruby",NA,"London, UK",-0.1275862,51.5072178,-0.1275862,51.50722
"97", 97,"Terry Hartill",56,"M","Retired air steward","West Midlands", 9,"Terry Hartill","Terry",NA,"West Midlands, UK",-1.8298330,52.4750743,-1.8298330,52.47507
"98", 98,"Alice Fevronia",28,"F","Geography teacher","Essex",10,"Alice Fevronia","Alice",NA,"Essex, UK", 0.4856781,51.5742447, 0.4856781,51.57424
"99", 99,"Amelia Le Bruin",24,"F","Fashion designer","Halifax",10,"Amelia Le Bruin","Amelia",NA,"Halifax, UK",-1.8575400,53.7270200,-1.8575400,53.72702
